2023-10-06 11:18:11.751 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:11.752 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:12.122 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:12.123 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:12.123 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:12.123 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:12.756 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:12.756 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:12.756 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:12.756 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 0 millisecond
2023-10-06 11:18:13.394 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:13.394 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:13.395 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:13.395 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:18:13.747 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:18:13.747 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:18:13.748 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:18:13.748 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 1 millisecond
2023-10-06 11:33:09.438 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:33:09.879 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 0158a0ad-ca8f-42df-8abe-710e58ede289 is creating 
